millis,encoderA,encoderB
14214,4091,4087
14215,4087,4087
14215,4087,4087
14215,4089,4085
14215,4088,4091
14216,4092,4088
14216,4087,4089
14216,4088,4086
14216,4088,4080
14216,4089,4083
14217,4085,4083
14217,4084,4083
14217,4087,4084
14217,4086,4086
14217,4079,4082
14218,4085,4083
14218,4092,4083
14218,4085,4089
14218,4091,4088
14218,4082,4083
14218,4088,4086
14219,4090,4083
14219,4086,4085
14219,4082,4090
14219,4092,4089
14219,4089,4088
14220,4083,4084
14220,4089,4086
14220,4085,4092
14220,4081,4083
14220,4086,4087
14220,4088,4090
14221,4093,4091
14221,4085,4086
14221,4087,4084
14221,4080,4084
14221,4087,4092
14222,4087,4085
14222,4083,4089
14222,4093,4083
14222,4088,4084
14222,4089,4092
14222,4086,4082
14223,4080,4084
14223,4085,4089
14223,4090,4085
14223,4086,4084
14223,4087,4085
14224,4088,4085
14224,4091,4091
14224,4085,4083
14224,4085,4080
14224,4084,4084
14224,4085,4085
14225,4083,4079
14225,4085,4087
14225,4084,4087
14225,4080,4088
14225,4087,4079
14226,4085,4083
14226,4084,4094
14226,4085,4087
14226,4089,4083
14226,4085,4091
14226,4086,4085
14227,4087,4090
14227,4085,4083
14227,4092,4087
14227,4083,4088
14227,4087,4087
14227,4088,4087
14228,4087,4088
14228,4089,4091
14228,4090,4092
14228,4088,4089
14228,4087,4091
14229,4077,4091
14229,4085,4081
14229,4087,4086
14229,4094,4090
14229,4084,4089
14229,4086,4079
14230,4090,4088
14230,4085,4092
14230,4084,4084
14230,4078,4080
14230,4089,4086
14231,4085,4089
14231,4092,4086
14231,4085,4085
14231,4089,4084
14231,4082,4089
14231,4081,4087
14232,4080,4087
14232,4089,4089
14232,4081,4086
14232,4080,4090
14232,4081,4085
14233,4084,4091
14233,4086,4087
14233,4088,4084
14233,4086,4084
14233,4085,4086
14233,4086,4089
14234,4089,4087
14234,4085,4086
14234,4087,4083
14234,4082,4085
14234,4085,4088
14235,4095,4087
14235,4089,4085
14235,4086,4081
14235,4082,4083
14235,4084,4085
14235,4089,4093
14236,4084,4086
14236,4089,4085
14236,4086,4085
14236,4091,4089
14236,4079,4081
14237,4087,4084
14237,4090,4093
14237,4087,4089
14237,4089,4085
14237,4091,4087
14237,4089,4084
14238,4080,4080
14238,4089,4079
14238,4085,4090
14238,4086,4087
14238,4084,4087
14239,4085,4079
14239,4087,4085
14239,4083,4084
14239,4085,4085
14239,4088,4085
14239,4086,4087
14240,4089,4085
14240,4086,4083
14240,4080,4084
14240,4094,4081
14240,4080,4087
14241,4081,4087
14241,4086,4089
14241,4079,4086
14241,4085,4090
14241,4090,4088
14241,4087,4085
14242,4088,4091
14242,4083,4084
14242,4085,4091
14242,4089,4084
14242,4086,4087
14242,4083,4087
14243,4088,4085
14243,4086,4085
14243,4085,4085
14243,4082,4088
14243,4084,4087
14244,4082,4084
14244,4083,4082
14244,4086,4089
14244,4089,4087
14244,4086,4085
14244,4083,4084
14245,4085,4092
14245,4088,4089
14245,4085,4086
14245,4089,4087
14245,4084,4087
14246,4083,4084
14246,4083,4084
14246,4085,4094
14246,4087,4084
14246,4087,4088
14246,4085,4084
14247,4087,4083
14247,4085,4084
14247,4085,4089
14247,4089,4086
14247,4088,4079
14248,4087,4080
14248,4093,4093
14248,4082,4083
14248,4085,4078
14248,4087,4089
14248,4083,4087
14249,4084,4080
14249,4088,4085
14249,4087,4090
14249,4083,4084
14249,4087,4086
14250,4089,4086
14250,4085,4085
14250,4085,4086
14250,4087,4090
14250,4076,4089
14250,4087,4078
14251,4087,4087
14251,4081,4081
14251,4088,4091
14251,4082,4090
14251,4087,4087
14252,4081,4080
14252,4085,4087
14252,4075,4079
14252,4088,4087
14252,4088,4086
14252,4087,4087
14253,4084,4088
14253,4088,4088
14253,4088,4085
14253,4086,4088
14253,4086,4087
14254,4086,4089
14254,4084,4089
14254,4088,4086
14254,4090,4084
14254,4087,4083
14254,4087,4077
14255,4083,4083
14255,4086,4085
14255,4094,4089
14255,4091,4080
14255,4084,4084
14256,4089,4087
14256,4082,4087
14256,4084,4079
14256,4086,4082
14256,4086,4091
14256,4086,4089
14257,4087,4084
14257,4092,4084
14257,4088,4089
14257,4085,4086
14257,4079,4085
14258,4084,4087
14258,4081,4081
14258,4085,4090
14258,4083,4092
14258,4083,4091
14258,4088,4089
14259,4089,4086
14259,4086,4095
14259,4090,4086
14259,4085,4087
14259,4083,4083
14260,4089,4084
14260,4083,4084
14260,4085,4087
14260,4087,4087
14260,4086,4086
14260,4084,4087
14261,4090,4087
14261,4086,4087
14261,4084,4088
14261,4086,4083
14261,4085,4084
14261,4079,4085
14262,4080,4084
14262,4082,4087
14262,4085,4089
14262,4083,4080
14262,4079,4089
14263,4089,4090
14263,4075,4087
14263,4085,4089
14263,4086,4088
14263,4087,4087
14264,4088,4089
14264,4090,4088
14264,4088,4081
14264,4087,4083
14264,4086,4083
14264,4079,4080
14265,4086,4087
14265,4080,4088
14265,4084,4079
14265,4081,4088
14265,4083,4090
14265,4082,4088
14266,4087,4089
14266,4087,4083
14266,4084,4087
14266,4087,4088
14266,4089,4088
14267,4085,4085
14267,4090,4085
14267,4078,4090
14267,4085,4090
14267,4091,4084
14267,4090,4087
14268,4080,4088
14268,4087,4084
14268,4085,4081
14268,4080,4080
14268,4086,4089
14269,4085,4087
14269,4082,4079
14269,4082,4083
14269,4090,4092
14269,4090,4087
14269,4090,4086
14270,4082,4083
14270,4084,4086
14270,4085,4084
14270,4079,4089
14270,4078,4092
14271,4079,4085
14271,4090,4089
14271,4089,4088
14271,4090,4086
14271,4091,4079
14271,4085,4088
14272,4086,4089
14272,4088,4087
14272,4091,4085
14272,4091,4089
14272,4087,4088
14273,4085,4085
14273,4088,4085
14273,4092,4088
14273,4087,4085
14273,4083,4087
14273,4087,4085
14274,4090,4088
14274,4085,4081
14274,4085,4088
14274,4086,4087
14274,4089,4083
14275,4087,4077
14275,4088,4087
14275,4085,4081
14275,4088,4084
14275,4083,4085
14275,4085,4088
14276,4082,4087
14276,4087,4086
14276,4086,4085
14276,4089,4081
14276,4085,4083
14277,4084,4088
14277,4085,4081
14277,4088,4087
14277,4082,4093
14277,4088,4086
