millis,rpm,rpm2
7850,140.65,147.15
7860,158.30,147.65
7870,140.69,146.42
7880,158.25,146.30
7890,140.68,149.28
7900,140.65,147.65
11070,123.11,133.42
22920,87.92,75.44
22930,70.35,74.58
22940,70.34,75.18
22950,70.33,75.54
22960,87.92,74.73
22970,70.34,75.93
22980,70.35,75.12
22990,70.34,75.15
23000,87.92,75.50
23010,70.33,74.54
23020,70.35,74.96
23030,87.92,75.15
23040,70.33,75.15
23050,70.35,75.38
23060,70.34,74.29
23070,87.92,74.77
23080,70.35,74.17
23090,70.33,74.32
23100,70.34,75.50
23110,87.92,73.98
23120,70.34,74.42
23130,70.35,74.93
23140,70.34,73.89
23150,87.92,75.54
23160,70.33,74.29
23170,70.35,74.20
23180,70.34,74.39
23190,70.33,73.49
23200,87.93,73.86
23210,70.34,73.55
23220,70.34,73.73
23230,70.34,75.02
23240,70.33,73.95
23250,87.93,73.79
23260,70.33,74.10
23270,70.35,73.09
23280,70.34,73.52
23290,70.33,73.27
23300,87.92,73.52
23310,70.35,73.67
23320,70.34,124.10
23330,70.33,73.21
23340,70.35,73.67
23350,70.32,72.70
23360,87.94,74.14
23370,70.34,73.00
23380,70.35,73.12
23390,70.34,73.39
23400,70.34,72.28
23410,70.33,72.79
23420,70.34,73.12
23430,87.92,72.37
23440,70.34,73.70
23450,70.35,72.64
23460,70.33,72.61
23470,70.35,73.03
23480,70.33,72.10
23490,70.34,72.49
23500,70.35,72.76
23510,87.92,71.95
23520,70.34,73.30
23530,70.34,72.31
23540,70.34,72.25
23550,70.33,72.58
23560,70.35,71.66
23570,70.33,72.07
23580,70.35,72.40
23590,70.33,71.45
23600,87.92,72.97
23610,70.34,71.80
23620,70.35,71.98
23630,70.33,72.10
23640,70.35,71.08
23650,70.34,120.78
23660,70.34,71.98
23670,70.33,71.14
23680,70.35,71.48
23690,70.33,71.14
23700,70.35,71.25
23710,70.34,72.34
23720,70.34,71.51
23730,70.34,71.34
23740,87.91,71.60
23750,70.35,70.65
23760,70.34,71.25
23770,70.33,70.68
23780,70.35,70.76
23790,70.34,71.86
23800,70.33,70.79
23810,70.35,70.82
23820,70.34,70.96
23830,70.34,70.09
23840,70.33,70.42
23850,70.34,70.82
