millis,rpm1,filterRpm_1,w1,rpm2,filterRpm_2,w2,rpm3,filterRpm_3,w3
2117777,112.31,102.0,20185,112.31,111.11,20185,96.27,93.54,20185
2117787,96.26,102.27,20165,112.3,111.25,20165,96.26,93.86,20165
2117797,112.29,102.51,20145,112.29,111.38,20145,112.29,95.09,20145
2117807,112.3,103.67,20125,128.34,112.43,20125,96.26,96.18,20125
2117817,96.27,103.74,20105,112.31,113.37,20105,96.27,96.19,20105
2117827,112.3,103.8,20085,112.3,113.24,20085,96.26,96.2,20085
2117837,96.26,103.86,20065,112.3,113.13,20065,96.26,96.21,20065
2117847,112.29,103.91,20045,112.29,113.03,20045,96.25,96.21,20045
2117857,112.3,104.9,20025,112.3,112.94,20025,96.26,96.22,20025
2117867,96.27,104.83,20005,128.36,113.82,20005,112.31,97.17,20005
2117877,112.29,104.76,19985,112.29,114.59,19985,96.25,98.01,19985
2117887,112.31,105.65,19965,112.31,114.32,19965,96.27,97.8,19965
2117897,96.25,105.49,19945,112.29,114.08,19945,96.25,97.62,19945
2117907,112.31,105.35,19925,112.31,113.87,19925,112.31,98.41,19925
2117918,102.09,105.57,19905,116.67,113.94,19905,87.51,98.58,19905
2117928,112.3,105.76,19885,128.34,114.95,19885,112.3,98.74,19885
2117938,112.3,106.53,19865,112.3,115.59,19865,96.26,99.4,19865
2117948,112.3,107.21,19845,112.3,115.2,19845,96.26,99.02,19845
2117958,96.26,106.87,19825,112.3,114.86,19825,96.26,98.7,19825
2117968,112.3,106.56,19805,128.34,115.5,19805,112.3,99.36,19805
2117978,112.3,107.24,19785,112.3,116.07,19785,96.26,99.94,19785
2117989,102.09,107.23,19765,116.67,115.88,19765,102.09,99.85,19765
2117999,112.29,107.23,19745,112.29,115.72,19745,96.25,99.77,19745
2118009,112.31,107.83,19725,112.31,115.31,19725,96.27,99.35,19725
2118020,102.03,107.75,19695,116.61,115.21,19695,102.03,99.33,19695
2118031,116.73,107.94,19675,116.73,115.39,19675,102.14,99.65,19675
2118042,102.1,108.12,19655,116.69,115.54,19655,102.1,99.95,19655
2118052,96.26,107.06,19635,112.3,115.42,19635,96.26,99.86,19635
2118063,116.67,106.99,19615,116.67,115.31,19615,102.09,99.77,19615
2118074,102.09,107.27,19595,116.67,115.47,19595,102.09,100.05,19595
2118084,96.26,106.32,19575,128.34,116.3,19575,112.3,100.89,19575
2118095,116.67,106.33,19555,116.67,117.04,19555,102.09,101.64,19555
2118106,102.03,106.69,19525,102.03,116.13,19525,87.46,100.83,19525
2118117,102.14,106.15,19505,116.73,115.33,19505,102.14,100.11,19505
2118128,102.1,105.67,19485,116.69,115.49,19485,102.1,100.35,19485
2118139,102.09,105.25,19465,116.67,115.63,19465,102.09,100.56,19465
2118150,102.09,104.87,19445,116.67,115.76,19445,102.09,100.74,19445
2118161,102.03,104.54,19415,116.61,115.86,19415,102.03,100.89,19415
2118172,102.14,104.25,19395,116.73,115.96,19395,102.14,101.04,19395
2118183,102.1,104.0,19375,116.69,116.05,19375,102.1,101.16,19375
2118193,112.3,104.38,19355,112.3,115.86,19355,96.26,100.93,19355
2118203,96.26,104.37,19335,112.3,115.44,19335,112.3,101.32,19335
2118213,96.25,103.41,19315,128.33,116.02,19315,96.25,101.67,19315
2118224,102.09,102.91,19295,116.67,116.78,19295,102.09,101.38,19295
2118234,112.31,103.41,19275,112.31,116.51,19275,96.27,101.12,19275
2118245,102.09,103.86,19255,116.67,116.27,19255,102.09,100.89,19255
2118256,102.09,103.65,19235,116.67,116.32,19235,102.09,101.03,19235
2118267,102.09,103.47,19215,116.67,116.36,19215,102.09,101.16,19215
2118278,102.03,103.3,19185,116.61,116.4,19185,102.03,101.26,19185
2118288,96.31,102.81,19175,112.37,116.17,19175,96.31,101.02,19175
2118298,96.2,102.04,19145,112.23,115.71,19145,112.23,101.4,19145
2118308,96.31,101.35,19135,112.37,115.31,19135,96.31,101.74,19135
2118318,112.23,101.7,19105,112.23,114.95,19105,96.2,101.09,19105
2118329,102.15,102.35,19085,116.74,114.9,19085,102.15,100.87,19085
2118339,96.26,101.98,19065,128.34,115.8,19065,96.26,100.67,19065
2118349,96.26,101.3,19045,112.3,116.34,19045,112.3,101.1,19045
2118359,96.26,100.7,19025,112.3,115.86,19025,96.26,101.47,19025
2118369,112.3,101.13,19005,112.3,115.44,19005,96.26,100.85,19005
2118379,96.23,101.5,18985,112.27,115.06,18985,112.27,101.26,18985
2118389,96.29,100.88,18965,128.38,115.69,18965,96.29,101.61,18965
2118399,96.26,100.33,18945,112.3,116.24,18945,96.26,100.98,18945
2118410,102.09,100.2,18925,116.67,116.03,18925,102.09,100.77,18925
2118420,96.26,100.07,18905,112.3,115.85,18905,96.26,100.58,18905
2118430,112.3,100.57,18885,112.3,115.43,18885,96.26,100.07,18885
2118440,96.25,101.01,18865,112.29,115.06,18865,112.29,100.57,18865
2118451,102.09,100.79,18845,116.67,114.99,18845,102.09,101.35,18845
2118462,102.1,100.95,18825,116.69,115.19,18825,102.1,101.44,18825
2118472,96.25,100.74,18805,112.29,115.11,18805,96.25,101.17,18805
2118482,96.27,100.21,18785,112.31,114.77,18785,96.27,100.59,18785
2118493,102.03,100.08,18755,116.61,114.74,18755,102.03,100.42,18755
2118503,96.31,99.97,18745,112.37,114.71,18745,96.31,100.27,18745
2118514,102.09,99.88,18725,116.67,114.69,18725,102.09,100.15,18725
2118524,96.26,99.8,18705,128.34,115.61,18705,96.26,100.03,18705
2118534,96.26,99.38,18685,112.3,116.17,18685,96.26,99.58,18685
2118544,112.28,99.96,18665,112.28,115.71,18665,112.28,100.14,18665
2118554,96.22,100.47,18635,112.25,115.3,18635,96.22,100.62,18635
2118564,96.26,99.97,18615,112.3,114.94,18615,96.26,100.1,18615
2118574,96.31,99.53,18605,112.37,114.64,18605,96.31,99.65,18605
2118584,96.2,99.14,18575,112.23,114.36,18575,96.2,99.25,18575
2118594,96.26,98.8,18555,112.3,114.11,18555,112.3,99.84,18555
2118604,112.37,99.45,18545,112.37,113.9,18545,96.31,100.37,18545
2118614,96.2,100.02,18515,128.27,114.66,18515,96.2,99.88,18515
2118624,96.31,99.58,18505,112.37,115.33,18505,96.31,99.46,18505
2118634,96.2,99.18,18475,112.23,114.97,18475,96.2,99.08,18475
2118644,96.31,98.84,18465,112.37,114.65,18465,112.37,99.69,18465
2118654,112.3,99.48,18445,112.3,114.38,18445,96.26,100.24,18445
2118664,96.26,100.05,18425,112.3,114.13,18425,96.26,99.77,18425
2118674,96.26,99.6,18405,112.3,113.92,18405,96.26,99.35,18405
2118684,96.26,99.21,18385,112.3,113.73,18385,96.26,98.99,18385
2118694,96.26,98.86,18365,112.3,113.56,18365,96.26,98.66,18365
2118704,96.26,98.55,18345,112.3,113.41,18345,112.3,99.33,18345
2118714,112.3,99.23,18325,112.3,113.28,18325,96.26,99.91,18325
2118724,96.25,99.82,18305,112.29,113.16,18305,96.25,99.48,18305
2118734,96.26,99.4,18285,112.3,113.06,18285,96.26,99.1,18285
2118744,96.27,99.03,18265,112.31,112.97,18265,96.27,98.76,18265
2118754,96.26,98.7,18245,112.3,112.89,18245,96.26,98.47,18245
2118764,96.26,98.41,18225,112.3,112.82,18225,96.26,98.21,18225
2118775,102.03,98.5,18195,116.61,113.01,18195,102.03,98.32,18195
2118785,96.31,98.58,18185,112.37,113.19,18185,96.31,98.42,18185
2118795,96.26,98.31,18165,112.3,113.09,18165,96.26,98.17,18165
2118805,96.2,98.06,18135,112.23,112.99,18135,96.2,97.94,18135
2118815,96.26,97.85,18115,112.3,112.9,18115,112.3,98.68,18115
2118825,96.31,97.66,18105,112.37,112.84,18105,96.31,99.35,18105
2118835,96.2,97.5,18075,112.23,112.77,18075,96.2,98.98,18075
2118845,96.31,97.35,18065,112.37,112.72,18065,96.31,98.66,18065
2118855,96.26,97.22,18045,112.3,112.67,18045,96.26,98.38,18045
2118865,96.26,97.11,18025,112.3,112.63,18025,96.26,98.13,18025
2118875,96.26,97.01,18005,112.3,112.59,18005,96.26,97.91,18005
2118885,96.26,96.92,17985,112.3,112.55,17985,96.26,97.71,17985
2118895,80.21,95.89,17965,112.3,112.52,17965,96.26,97.54,17965
2118905,96.26,94.99,17945,112.3,112.5,17945,96.26,97.39,17945
2118915,96.26,95.14,17925,112.3,112.47,17925,96.26,97.25,17925
2118925,96.26,95.27,17905,112.3,112.45,17905,96.26,97.14,17905
2118935,96.2,95.38,17875,112.23,112.43,17875,96.2,97.03,17875
2118945,80.26,94.54,17865,112.37,112.42,17865,96.31,96.94,17865
2118955,96.2,93.79,17835,96.2,111.45,17835,96.2,96.86,17835
2118965,96.3,94.08,17825,112.36,110.61,17825,96.3,96.79,17825
2118975,96.25,94.34,17805,112.29,110.81,17805,96.25,96.73,17805
2118985,80.23,93.62,17785,112.32,110.99,17785,96.28,96.67,17785
2118995,96.26,92.98,17765,112.3,111.14,17765,96.26,96.62,17765
2119005,96.26,93.37,17745,112.3,111.28,17745,96.26,96.58,17745
2119015,80.16,92.76,17715,112.22,111.39,17715,96.19,96.54,17715
